medication,brand,class,diagnoses,addiction,adhd,agitation,anxiety,bipolar,depression,eating,insomnia,mania,movement,brain,psychosis,weight,sedation,hep1,hep2,hep3,hep4,ren1,ren2,ren3,ren4
lamotrigine,Lamictal,glutamate voltage-gated calcium channel blocker,bipolar 1 disorder,0,0,0,0,1,0,0,0,0,0,0,0,unusual,unusual,No dose adjustment needed,"initial, escalation, and maintenance doses should be reduced by 25% in patients without ascites","initial, escalation, and maintenace doses should be reduced by 25% in patients without ascites and 50% in patients with ascites","initial, escalation, and maintenace doses should be reduced by 25% in patients without ascites and 50% in patients with ascites",maintenance dose may need to be lowered,maintenance dose may need to be lowered,maintenance dose may need to be lowered,patients receiving hemodialysis may require supplemental doses
levomilnacipran,Fetzima,serotonin norepinephrine reuptake inhibitor,major depressive disorder,0,0,0,0,0,1,0,0,0,0,0,0,unusual,not unusual,No dose adjustment needed,No dose adjustment needed,No dose adjustment needed,No dose adjustment needed,use with caution,maximum dose 80 mg once daily,maximum dose 40 mg once daily,maximum dose 40 mg once daily
lisdexamfetamine,Vyvanse,dopamine norepinephrine reuptake inhibitor and releaser,"ADHD, binge eating disorder",0,1,0,0,0,0,1,0,0,0,0,0,unusual,unusual,Use with caution,Use with caution,Use with caution,Use with caution,use with caution,use with caution,maximum dose 50 mg/day,maximum dose 30 mg/day
lithium,Eskalith,lithium enzyme interactions,"bipolar disorder, bipolar mania",0,0,0,0,1,0,0,0,0,0,0,0,common,common,No dose adjustment needed,No special indications,No special indications,No special indications,use with caution,use with caution,contraindicated,contraindicated
lorazepam,Ativan,GABA positive allosteric modulator,"anxiety disorder, anxiety related to depression",0,0,0,1,0,0,0,0,0,0,0,0,unusual,common,1-2 mg/day in 2-3 doses,1-2 mg/day in 2-3 doses,1-2 mg/day in 2-3 doses,1-2 mg/day in 2-3 doses,1-2 mg/day in 2-3 doses,1-2 mg/day in 2-3 doses,1-2 mg/day in 2-3 doses,1-2 mg/day in 2-3 doses
loxapine,Loxitane,dopamine receptor agonist,"bipolar disorder, schizophrenia",0,0,0,0,1,0,0,0,0,0,0,1,unusual,common,Use with caution,Use with caution,Use with caution,Use with caution,use with caution,use with caution,use with caution,use with caution
lurasidone,Latuda,serotonin dopamine antagonist,"bipolar depression, schizophrenia",0,0,0,0,1,0,0,0,0,0,0,1,unusual,common,Dose adjustment recommended,initial 20 mg/day; maximum dose 80 mg/day,initial 20 mg/day; maximum dose 40 mg/day,initial 20 mg/day; maximum dose 40 mg/day,use with caution,initial 20 mg/day; maximum dose 80 mg/day,initial 20 mg/day; maximum dose 80 mg/day,dose adjustment recommended
maprotiline,Ludiomil,tricyclic antidepressant,depression,0,0,0,0,0,1,0,0,0,0,0,0,common,common,Use with caution,Use with caution,Use with caution,Use with caution,use with caution,use with caution,use with caution,use with caution
memantine,Namenda,glutamate receptor antagonist,Alzheimer disease,0,0,0,0,0,0,0,0,0,0,1,0,unusual,unusual,Dose adjustment not generally needed,Dose adjustment not generally needed,Dose adjustment not generally needed,Dose adjustment not generally needed,no dose adjustment needed,no dose adjustment needed,reduce dose,reduce dose
mesoridazine,Serentil,dopamine receptor agonist,treatment resistant schizophrenia,0,0,0,0,0,0,0,0,0,0,0,1,not unusual,common,Use with caution,Use with caution,Use with caution,Use with caution,use with caution,use with caution,use with caution,use with caution
methylfolate (l),Deplin,bioavailable form of folate,"depression, hyperhomocysteinemia in schizophrenia",0,0,0,0,0,1,0,0,0,0,0,1,not unusual,unusual,No dose adjustment needed,No dose adjustment needed,No dose adjustment needed,No dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed
methylphenidate (d),Focalin,dopamine norepinephrine reuptake inhibitor and releaser,ADHD,0,1,0,0,0,0,0,0,0,0,0,0,unusual,unusual,No dose adjustment needed,No dose adjustment needed,No dose adjustment needed,No dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed
"methylphenidate (d,l)",Concerta,dopamine norepinephrine reuptake inhibitor and releaser,ADHD,0,1,0,0,0,0,0,0,0,0,0,0,unusual,unusual,No dose adjustment needed,No dose adjustment needed,No dose adjustment needed,No dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed
mirtazepine,Remeron,serotonin norepinephrine receptor antagonist,MDD,0,0,0,0,0,1,0,0,0,0,0,0,common,common,may require lower dose,may require lower dose,may require lower dose,may require lower dose,use with caution,use with caution,use with caution,use with caution
naltrexone,Revia,opioid receptor antagonist,"alcohol dependence, opioid dependence, opioid dependence relapse prevention",1,0,0,0,0,0,0,0,0,0,0,0,unusual,not unusual,Dose adjustment not generally needed,Not studied,Not studied,Contraindicated,dose adjustment not generally needed,not studied,not studied,not studied
nefazodone,Dutonin,serotonin receptor antagonist,"depression, MDD",0,0,0,0,0,1,0,0,0,0,0,0,unusual,common,Contraindicated,Contraindicated,Contraindicated,Contraindicated,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed
nortriptyline,Pamelor,tricyclic antidepressant,MDD,0,0,0,0,0,1,0,0,0,0,0,0,common,common,may require a lower dose with slower titration,may require a lower dose with slower titration,may require a lower dose with slower titration,may require a lower dose with slower titration,may need to lower dose,may need to lower dose,may need to lower dose,may need to lower dose
olanzapine,Zyprexa,serotonin dopamine antagonist,"bipolar 1 mania, bipolar disorder, mania, schizophrenia",0,0,0,0,1,0,0,0,1,0,0,1,problematic,common,may need to lower dose,starting oral dose 5 mg; increase with caution,starting oral dose 5 mg; increase with caution,starting oral dose 5 mg; increase with caution,"no dose adjustment required for oral formulation; for intramuscular formulation, consider lower starting dose (5 mg)","no dose adjustment required for oral formulation; for intramuscular formulation, consider lower starting dose (5 mg)","no dose adjustment required for oral formulation; for intramuscular formulation, consider lower starting dose (5 mg)",not removed by hemodialysis
oxazepam,Serax,GABA positive allosteric modulator,"alcohol withdrawal, anxiety, anxiety related to depression",1,0,0,1,0,0,0,0,0,0,0,0,unusual,common,oxazepam levels may be increased,oxazepam levels may be increased,oxazepam levels may be increased,oxazepam levels may be increased,oxazepam levels may be increased,oxazepam levels may be increased,oxazepam levels may be increased,oxazepam levels may be increased
paliperidone,Invega,serotonin dopamine antagonist,"schizoaffective disorder, schizophrenia",0,0,0,0,0,0,0,0,0,0,0,1,common,common,No dose adjustment needed,No dose adjustment needed,Not studied,Not studied,maximum recommended dose 6 mg/day,initial and maximum recommended dose 3 mg/day,initial dose 1.5 mg/day; maximum recommended dose 3 mg/day,initial dose 1.5 mg/day; maximum recommended dose 3 mg/day
paroxetine,Paxil,selective serotonin reuptake inhibitor,"GAD, panic disorder, social anxiety disorder, OCD, PTSD, MDD, PMDD",0,0,0,1,0,1,0,0,0,0,0,0,not unusual,common,"lower dose [initial 10 mg/day (12.5 mg CR), maximum 40 mg/day (50 mg/day CR)]","lower dose [initial 10 mg/day (12.5 mg CR), maximum 40 mg/day (50 mg/day CR)]","lower dose [initial 10 mg/day (12.5 mg CR), maximum 40 mg/day (50 mg/day CR)]","lower dose [initial 10 mg/day (12.5 mg CR), maximum 40 mg/day (50 mg/day CR)]","lower dose [initial 10 mg/day (12.5 mg CR), maximum 40 mg/day (50 mg/day CR)]","lower dose [initial 10 mg/day (12.5 mg CR), maximum 40 mg/day (50 mg/day CR)]","lower dose [initial 10 mg/day (12.5 mg CR), maximum 40 mg/day (50 mg/day CR)]","lower dose [initial 10 mg/day (12.5 mg CR), maximum 40 mg/day (50 mg/day CR)]"
perphenazine,Trilafon,dopamine receptor agonist,schizophrenia,0,0,0,0,0,0,0,0,0,0,0,1,not well characterized,common,May not be recommended,May not be recommended,May not be recommended,May not be recommended,use with caution,use with caution,use with caution,use with caution
phenelzine,Nardil,monoamine oxidase inhibitor,"atypical depression, neurotic depression, nonendogenous depression",0,0,0,0,0,1,0,0,0,0,0,0,common,common,Contraindicated,Contraindicated,Contraindicated,Contraindicated,may require lower than usual adult dose,may require lower than usual adult dose,may require lower than usual adult dose,may require lower than usual adult dose
pimavanserin,Nuplazid,serotonin 2A/2C antagonist/inverse agonist,Parkinson's disease psychosis,0,0,0,0,0,0,0,0,0,0,1,0,unusual,unusual,Contraindicated,Contraindicated,Contraindicated,Contraindicated,no dose adjustment needed,no dose adjustment needed,contraindicated,contraindicated
protripltyline,Vivactil,tricyclic antidepressant,mental depression,0,0,0,0,0,1,0,0,0,0,0,0,common,common,may need to lower dose,may need to lower dose,may need to lower dose,may need to lower dose,may need to lower dose,may need to lower dose,may need to lower dose,may need to lower dose
quazepam,Doral,GABA positive allosteric modulator,insomnia,0,0,0,0,0,0,0,1,0,0,0,0,unusual,common,7.5 mg/day,7.5 mg/day,7.5 mg/day,7.5 mg/day,7.5 mg/day,7.5 mg/day,7.5 mg/day,7.5 mg/day
quetiapine,Seroquel,dopamine serotonin multi-modal,"schizophrenia, mania, bipolar disorder, bipolar depression, depression (adjunct)",0,0,0,0,1,1,0,0,1,0,0,1,common,problematic,downward dose adjustment may be necessary,downward dose adjustment may be necessary,downward dose adjustment may be necessary,downward dose adjustment may be necessary,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed
ramelteon,Rozerem,melatonin receptor agonist,insomnia,0,0,0,0,0,0,0,1,0,0,0,0,unusual,common,No dose adjustment needed,Use with caution,Contraindicated,Contraindicated,dose adjustment not generally needed,dose adjustment not generally needed,dose adjustment not generally needed,dose adjustment not generally needed
risperidone,Risperdal,dopamine serotonin norepinephrine receptor antagonist,"bipolar disorder, mania, psychotic disorder, schizophrenia",0,0,0,0,1,0,0,0,1,0,0,1,common,common,initial 0.5 mg orally twice a day for first week; increase to 1 mg twice a day during second week,initial 0.5 mg orally twice a day for first week; increase to 1 mg twice a day during second week,initial 0.5 mg orally twice a day for first week; increase to 1 mg twice a day during second week,initial 0.5 mg orally twice a day for first week; increase to 1 mg twice a day during second week,initial 0.5 mg orally twice a day for first week; increase to 1 mg twice a day during second week; dosage increase above 1.5 mg twice a day should occur at least 1 week apart,initial 0.5 mg orally twice a day for first week; increase to 1 mg twice a day during second week; dosage increase above 1.5 mg twice a day should occur at least 1 week apart,initial 0.5 mg orally twice a day for first week; increase to 1 mg twice a day during second week; dosage increase above 1.5 mg twice a day should occur at least 1 week apart,initial 0.5 mg orally twice a day for first week; increase to 1 mg twice a day during second week; dosage increase above 1.5 mg twice a day should occur at least 1 week apart
rivastigmine,Exelon,acetylcholine enzyme inhibitor,"Alzheimer's disease, Parkinson's disease dementia",0,0,0,0,0,0,0,0,0,0,1,0,unusual,unusual,No dose adjustment needed,No dose adjustment needed,No dose adjustment needed,No dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed
selegiline,Eldepryl,monoamine oxidase inhibitor,"MDD, parkinsonism (adjunct), Parkinson's disease",0,0,0,0,0,1,0,0,0,1,1,0,unusual,unusual,oral administration may require lower than usual adult dose,oral administration may require lower than usual adult dose,oral administration may require lower than usual adult dose,oral administration may require lower than usual adult dose,oral administration may require lower than usual adult dose,oral administration may require lower than usual adult dose,oral administration may require lower than usual adult dose,oral administration may require lower than usual adult dose
sertraline,Zoloft,selective serotonin reuptake inhibitor,"panic disorder, social anxiety disorder, OCD, PTSD, MDD, PMDD",0,0,0,1,0,1,0,0,0,0,0,0,unusual,unusual,"lower dose or give less frequently, perhaps by half","lower dose or give less frequently, perhaps by half","lower dose or give less frequently, perhaps by half","lower dose or give less frequently, perhaps by half",no dose adjustment needed,no dose adjustment needed,no dose adjustment needed,not removed by hemodialysis
suvorexant,Belsomra,orexin receptor antagonist,insomnia,0,0,0,0,0,0,0,1,0,0,0,0,unusual,common,No dose adjustment needed,No dose adjustment needed,Contraindicated,Contraindicated,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed
temazepam,Restoril,GABA positive allosteric modulator,insomnia,0,0,0,0,0,0,0,1,0,0,0,0,unusual,common,7.5 mg/day,7.5 mg/day,7.5 mg/day,7.5 mg/day,7.5 mg/day,7.5 mg/day,7.5 mg/day,7.5 mg/day
thioridazine,Mellaril,dopamine receptor agonist,treatment resistant schizophrenia,0,0,0,0,0,0,0,0,0,0,0,1,common,common,Use with caution,Use with caution,Use with caution,Use with caution,use with caution,use with caution,use with caution,use with caution
thiothixene,Navane,dopamine receptor agonist,schizophrenia,0,0,0,0,0,0,0,0,0,0,0,1,unusual,not unusual,Use with caution,Use with caution,Use with caution,Use with caution,use with caution,use with caution,use with caution,use with caution
tranylcypromide,Parnate,monoamine oxidase inhibitor,MDD without melancholia,0,0,0,0,0,1,0,0,0,0,0,0,not unusual,common,Contraindicated,Contraindicated,Contraindicated,Contraindicated,may require lower than usual adult dose,may require lower than usual adult dose,may require lower than usual adult dose,may require lower than usual adult dose
trazodone,Desyrel,serotonin receptor antagonist,depression,0,0,0,0,0,1,0,0,0,0,0,0,unusual,common,Use with caution,Use with caution,Use with caution,Use with caution,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed
triazolam,Halcion,GABA positive allosteric modulator,insomnia,0,0,0,0,0,0,0,1,0,0,0,0,unusual,common,Use with caution,Use with caution,Use with caution,Use with caution,use with caution,use with caution,use with caution,use with caution
trifluoperazine,Stelazine,dopamine receptor agonist,"non-psychotic anxiety, schizophrenia",0,0,0,1,0,0,0,0,0,0,0,1,unusual,common,Contraindicated,Contraindicated,Contraindicated,Contraindicated,use with caution,use with caution,use with caution,use with caution
trihexyphenidyl,Artane,anticholinergic,"EPS, parkinsonism",0,0,0,0,0,0,0,0,0,1,0,0,unusual,common,Use with caution,Use with caution,Use with caution,Use with caution,use with caution,use with caution,use with caution,use with caution
trimipramine,Surmontil,tricyclic antidepressant,"depression, exogenous depression",0,0,0,0,0,1,0,0,0,0,0,0,common,common,may need to lower dose,may need to lower dose,may need to lower dose,may need to lower dose,may need to lower dose,may need to lower dose,may need to lower dose,may need to lower dose
valproate,Depakote,voltage-sensitive sodium channel modulator,mania,0,0,0,0,0,0,0,0,1,0,0,0,common,problematic,Contraindicated,Contraindicated,Contraindicated,Contraindicated,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed
varenicline,Chantix,acetylcholine receptor partial agonist,nicotine addiction,1,0,0,0,0,0,0,0,0,0,0,0,unusual,unusual,Dose adjustment not generally needed,Dose adjustment not generally needed,Dose adjustment not generally needed,Dose adjustment not generally needed,use with caution,use with caution,maximum recommended dose is 0.5 mg twice per day,maximum recommended dose is 0.5 mg once per day; removed by dialysis
venlafaxine,Effexor,serotonin norepinephrine reuptake inhibitor,"GAD, panic disorder, social anxiety disorder, depression",0,0,0,1,0,1,0,0,0,0,0,0,unusual,not unusual,lower dose by 50%,lower dose by 50%,lower dose by 50%,lower dose by 50%,lower dose by 25-50%,lower dose by 25-50%,lower dose by 25-50%,"lower dose by 25-50%, patients on hemodialysis should not receive subsequent dose until dialysis is completed"
vilazodone,Viibryd,serotonin partial agonist reuptake inhibitor,MDD,0,0,0,0,0,1,0,0,0,0,0,0,unusual,unusual,No dose adjustment needed,No dose adjustment needed,Not studied,Not studied,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed
vortioxetine,Trintellix,serotonin multi-modal,MDD,0,0,0,0,0,1,0,0,0,0,0,0,unusual,unusual,No dose adjustment needed,No dose adjustment needed,Not studied,Not studied,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed
ziprasidone,Geodon,serotonin dopamine antagonist,"bipolar disorder, mania, schizophrenia",0,0,0,0,1,0,0,0,1,0,0,1,unusual,not unusual,No dose adjustment needed,No dose adjustment needed,No dose adjustment needed,No dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed,not removed by hemodialysis
zolpidem,Ambien,GABA positive allosteric modulator,insomnia,0,0,0,0,0,0,0,1,0,0,0,0,unusual,common,"5 mg (immediate-release), 6.25 mg (controlled-release), 1.75 mg (Intermezzo)","5 mg (immediate-release), 6.25 mg (controlled-release), 1.75 mg (Intermezzo)","5 mg (immediate-release), 6.25 mg (controlled-release), 1.75 mg (Intermezzo)","5 mg (immediate-release), 6.25 mg (controlled-release), 1.75 mg (Intermezzo)",no dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed
